session_id,room_id,card_id,item_ids,entry_time,exit_time,duration,entry_scans,exit_scans,is_anomaly,anomaly_type
sess_00000,room_2,card_8660,"[""SKU-0011"", ""SKU-0009"", ""SKU-0001"", ""SKU-0012"", ""SKU-0008""]",2025-03-05T16:30:02.639951,2025-03-05T17:00:02.639951,30.0,"[""SKU-0011"", ""SKU-0009"", ""SKU-0001"", ""SKU-0012"", ""SKU-0008""]","[""SKU-0011"", ""SKU-0009"", ""SKU-0001"", ""SKU-0012"", ""SKU-0008""]",False,
sess_00001,room_1,card_5928,"[""SKU-0002"", ""SKU-0011""]",2025-09-18T22:23:02.639951,2025-09-18T22:41:02.639951,18.0,"[""SKU-0002"", ""SKU-0011""]","[""SKU-0002"", ""SKU-0011""]",False,
sess_00002,room_1,card_4179,"[""SKU-0010"", ""SKU-0012"", ""SKU-0001""]",2025-09-29T01:29:02.639951,2025-09-29T02:00:02.639951,31.0,"[""SKU-0010"", ""SKU-0012"", ""SKU-0001""]","[""SKU-0010"", ""SKU-0012"", ""SKU-0001""]",False,
sess_00003,room_2,card_6315,"[""SKU-0012"", ""SKU-0010"", ""SKU-0002"", ""SKU-0006"", ""SKU-0001""]",2025-05-25T17:28:02.639951,2025-05-25T18:16:02.639951,48.0,"[""SKU-0012"", ""SKU-0010"", ""SKU-0002"", ""SKU-0006"", ""SKU-0001""]","[""SKU-0012"", ""SKU-0010"", ""SKU-0002"", ""SKU-0006"", ""SKU-0001""]",False,
sess_00004,room_1,card_5561,"[""SKU-0004"", ""SKU-0010"", ""SKU-0008"", ""SKU-0011""]",2025-02-03T01:11:02.639951,2025-02-03T01:39:02.639951,28.0,"[""SKU-0004"", ""SKU-0010"", ""SKU-0008"", ""SKU-0011""]","[""SKU-0004"", ""SKU-0010"", ""SKU-0008"", ""SKU-0011""]",False,
sess_00005,room_2,card_1249,"[""SKU-0011"", ""SKU-0007"", ""SKU-0006"", ""SKU-0008""]",2025-05-18T05:31:02.639951,2025-05-18T06:31:02.639951,60.0,"[""SKU-0011"", ""SKU-0007"", ""SKU-0006"", ""SKU-0008""]","[""SKU-0011"", ""SKU-0007"", ""SKU-0006"", ""SKU-0008""]",False,
sess_00006,room_2,card_6267,"[""SKU-0006"", ""SKU-0002""]",2025-03-17T15:38:02.639951,2025-03-17T15:51:02.639951,13.0,"[""SKU-0006"", ""SKU-0002""]","[""SKU-0006"", ""SKU-0002""]",False,
sess_00007,room_1,card_9171,"[""SKU-0009"", ""SKU-0007"", ""SKU-0012""]",2025-03-31T23:23:02.639951,2025-03-31T23:47:02.639951,24.0,"[""SKU-0009"", ""SKU-0007"", ""SKU-0012""]","[""SKU-0009"", ""SKU-0007"", ""SKU-0012""]",False,
sess_00008,room_1,card_4275,"[""SKU-0003"", ""SKU-0002"", ""SKU-0005"", ""SKU-0004"", ""SKU-0010"", ""SKU-0012""]",2025-04-12T03:01:02.639951,2025-04-12T03:03:45.123265,2.70805524153427,"[""SKU-0003"", ""SKU-0002"", ""SKU-0005"", ""SKU-0004"", ""SKU-0010"", ""SKU-0012""]","[""SKU-0003"", ""SKU-0002"", ""SKU-0005"", ""SKU-0004"", ""SKU-0010"", ""SKU-0012""]",True,quick_exit
sess_00009,room_1,card_1920,"[""SKU-0012"", ""SKU-0001""]",2025-09-09T15:54:02.639951,2025-09-09T16:05:02.639951,11.0,"[""SKU-0012"", ""SKU-0001""]","[""SKU-0012"", ""SKU-0001""]",False,
sess_00010,room_2,card_7818,"[""SKU-0004"", ""SKU-0005"", ""SKU-0009""]",2025-03-04T02:24:02.639951,2025-03-04T02:43:02.639951,19.0,"[""SKU-0004"", ""SKU-0005"", ""SKU-0009""]","[""SKU-0004"", ""SKU-0005"", ""SKU-0009""]",False,
sess_00011,room_1,card_3857,"[""SKU-0002"", ""SKU-0004"", ""SKU-0006"", ""SKU-0012""]",2025-07-21T15:21:02.639951,2025-07-21T15:55:02.639951,34.0,"[""SKU-0002"", ""SKU-0004"", ""SKU-0006"", ""SKU-0012""]","[""SKU-0002"", ""SKU-0004"", ""SKU-0006"", ""SKU-0012""]",False,
sess_00012,room_1,card_9533,"[""SKU-0008"", ""SKU-0006"", ""SKU-0012"", ""SKU-0005"", ""SKU-0009"", ""SKU-0007""]",2025-06-01T17:29:02.639951,2025-06-01T18:22:02.639951,53.0,"[""SKU-0008"", ""SKU-0006"", ""SKU-0012"", ""SKU-0005"", ""SKU-0009"", ""SKU-0007""]","[""SKU-0008"", ""SKU-0006"", ""SKU-0012"", ""SKU-0005"", ""SKU-0009"", ""SKU-0007""]",False,
sess_00013,room_1,card_6350,"[""SKU-0002"", ""SKU-0003""]",2025-05-05T01:03:02.639951,2025-05-05T01:19:02.639951,16.0,"[""SKU-0002"", ""SKU-0003""]","[""SKU-0002"", ""SKU-0003""]",False,
sess_00014,room_1,card_4582,"[""SKU-0002"", ""SKU-0006"", ""SKU-0005""]",2025-01-31T18:52:02.639951,2025-01-31T19:23:02.639951,31.0,"[""SKU-0002"", ""SKU-0006"", ""SKU-0005""]","[""SKU-0002"", ""SKU-0006"", ""SKU-0005""]",False,
sess_00015,room_1,card_9625,"[""SKU-0009""]",2025-02-18T02:14:02.639951,2025-02-18T02:21:02.639951,7.0,"[""SKU-0009""]","[""SKU-0009""]",False,
sess_00016,room_2,card_7598,"[""SKU-0008"", ""SKU-0006"", ""SKU-0010"", ""SKU-0001""]",2024-12-16T14:11:02.639951,2024-12-16T14:43:02.639951,32.0,"[""SKU-0008"", ""SKU-0006"", ""SKU-0010"", ""SKU-0001""]","[""SKU-0008"", ""SKU-0006"", ""SKU-0010"", ""SKU-0001""]",False,
sess_00017,room_1,card_7205,"[""SKU-0006""]",2025-03-04T23:25:02.639951,2025-03-04T23:30:02.639951,5.0,"[""SKU-0006""]","[""SKU-0006""]",False,
sess_00018,room_2,card_3475,"[""SKU-0004""]",2025-04-28T00:13:02.639951,2025-04-28T00:19:02.639951,6.0,"[""SKU-0004""]","[""SKU-0004""]",False,
sess_00019,room_1,card_4717,"[""SKU-0011"", ""SKU-0010""]",2025-02-26T05:41:02.639951,2025-02-26T05:55:02.639951,14.0,"[""SKU-0011"", ""SKU-0010""]","[""SKU-0011"", ""SKU-0010""]",False,
sess_00020,room_2,card_5603,"[""SKU-0002"", ""SKU-0003"", ""SKU-0004"", ""SKU-0001""]",2025-01-21T13:27:02.639951,2025-01-21T14:06:02.639951,39.0,"[""SKU-0002"", ""SKU-0003"", ""SKU-0004"", ""SKU-0001""]","[""SKU-0002"", ""SKU-0003"", ""SKU-0004"", ""SKU-0001""]",False,
sess_00021,room_2,card_8801,"[""SKU-0003""]",2024-11-27T12:32:02.639951,2024-11-27T12:41:02.639951,9.0,"[""SKU-0003""]","[""SKU-0003""]",False,
sess_00022,room_1,card_2644,"[""SKU-0012"", ""SKU-0004"", ""SKU-0009""]",2024-12-30T13:03:02.639951,2024-12-30T13:21:02.639951,18.0,"[""SKU-0012"", ""SKU-0004"", ""SKU-0009""]","[""SKU-0012"", ""SKU-0004"", ""SKU-0009""]",False,
sess_00023,room_2,card_2878,"[""SKU-0006"", ""SKU-0007"", ""SKU-0012"", ""SKU-0009"", ""SKU-0008""]",2025-08-25T10:06:02.639951,2025-08-25T10:46:02.639951,40.0,"[""SKU-0006"", ""SKU-0007"", ""SKU-0012"", ""SKU-0009"", ""SKU-0008""]","[""SKU-0006"", ""SKU-0007"", ""SKU-0012"", ""SKU-0009"", ""SKU-0008""]",False,
sess_00024,room_1,card_3949,"[""SKU-0001"", ""SKU-0004"", ""SKU-0012"", ""SKU-0008"", ""SKU-0009""]",2025-05-08T21:58:02.639951,2025-05-08T22:37:02.639951,39.0,"[""SKU-0001"", ""SKU-0004"", ""SKU-0012"", ""SKU-0008"", ""SKU-0009""]","[""SKU-0001"", ""SKU-0004"", ""SKU-0012"", ""SKU-0008"", ""SKU-0009""]",False,
sess_00025,room_2,card_6814,"[""SKU-0006""]",2025-05-08T07:28:02.639951,2025-05-08T07:35:02.639951,7.0,"[""SKU-0006""]","[""SKU-0006""]",False,
sess_00026,room_2,card_8164,"[""SKU-0005"", ""SKU-0009"", ""SKU-0003"", ""SKU-0004"", ""SKU-0002""]",2025-08-16T16:01:02.639951,2025-08-16T16:44:02.639951,43.0,"[""SKU-0005"", ""SKU-0009"", ""SKU-0003"", ""SKU-0004"", ""SKU-0002""]","[""SKU-0005"", ""SKU-0009"", ""SKU-0003"", ""SKU-0004"", ""SKU-0002""]",False,
sess_00027,room_2,card_1334,"[""SKU-0003"", ""SKU-0011"", ""SKU-0007""]",2025-11-03T23:58:02.639951,2025-11-04T00:22:02.639951,24.0,"[""SKU-0003"", ""SKU-0011"", ""SKU-0007""]","[""SKU-0003"", ""SKU-0011"", ""SKU-0007""]",False,
sess_00028,room_1,card_5339,"[""SKU-0012""]",2025-06-18T09:22:02.639951,2025-06-18T09:32:02.639951,10.0,"[""SKU-0012""]","[""SKU-0012""]",False,
sess_00029,room_1,card_4746,"[""SKU-0004"", ""SKU-0010""]",2025-07-16T08:14:02.639951,2025-07-16T08:23:02.639951,9.0,"[""SKU-0004"", ""SKU-0010""]","[""SKU-0004"", ""SKU-0010""]",False,
sess_00030,room_2,card_4775,"[""SKU-0002"", ""SKU-0007"", ""SKU-0008"", ""SKU-0010"", ""SKU-0006""]",2025-01-24T05:32:02.639951,2025-01-24T06:18:02.639951,46.0,"[""SKU-0002"", ""SKU-0007"", ""SKU-0008"", ""SKU-0010"", ""SKU-0006""]","[""SKU-0002"", ""SKU-0007"", ""SKU-0008"", ""SKU-0010"", ""SKU-0006""]",False,
